date,ntot,nNO,nSE,nFI
19500101,839,192,79,2
19500102,864,192,79,2
19500103,862,192,79,2
19500104,863,192,79,2
19500105,861,192,79,2
19500106,863,192,78,2
19500107,862,192,78,2
19500108,864,192,78,2
19500109,861,192,78,2
19500110,863,192,79,2
19500111,860,192,79,2
19500112,865,192,79,2
19500113,862,192,79,2
19500114,863,192,79,2
19500115,862,192,78,2
19500116,862,192,78,2
19500117,862,192,79,2
19500118,859,192,79,2
19500119,863,192,79,2
19500120,861,192,79,2
19500121,862,192,79,2
19500122,864,192,78,2
19500123,861,192,78,2
19500124,862,192,79,2
19500125,865,192,79,2
19500126,864,192,79,2
19500127,861,192,79,2
19500128,862,192,79,2
19500129,860,192,78,2
19500130,862,192,78,2
19500131,861,192,79,2
19500201,858,192,78,2
19500202,861,192,78,2
19500203,859,192,78,2
19500204,862,192,78,2
19500205,858,192,77,2
19500206,860,192,77,2
19500207,862,192,78,2
19500208,857,192,78,2
19500209,859,192,78,2
19500210,861,192,78,2
19500211,861,192,78,2
19500212,859,192,77,2
19500213,860,192,77,2
19500214,861,192,78,2
19500215,858,192,78,2
19500216,862,192,78,2
19500217,862,192,78,2
19500218,863,192,78,2
19500219,862,192,77,2
19500220,861,192,77,2
19500221,859,192,78,2
19500222,864,192,78,2
19500223,862,192,78,2
19500224,861,192,78,2
19500225,861,192,78,2
19500226,861,192,77,2
19500227,858,192,77,2
19500228,861,192,78,2
19500301,863,193,78,2
19500302,864,193,79,2
19500303,863,193,79,2
19500304,863,193,79,2
19500305,864,193,78,2
19500306,864,193,78,2
19500307,866,193,79,2
19500308,866,193,79,2
19500309,865,193,79,2
19500310,862,193,79,2
19500311,863,193,79,2
19500312,863,193,78,2
19500313,863,193,78,2
19500314,864,193,79,2
19500315,865,193,79,2
19500316,862,193,79,2
19500317,863,193,79,2
19500318,865,193,79,2
19500319,863,193,78,2
19500320,864,193,78,2
19500321,863,193,79,2
19500322,864,193,79,2
19500323,865,193,79,2
19500324,863,193,78,2
19500325,865,193,78,2
19500326,864,193,78,2
19500327,863,193,78,2
19500328,862,193,79,2
19500329,864,193,79,2
19500330,863,193,79,2
19500331,864,193,79,2
19500401,866,193,79,2
19500402,859,193,78,2
19500403,861,193,78,2
19500404,860,193,79,2
19500405,863,193,79,2
19500406,865,193,79,2
19500407,864,193,79,2
19500408,866,193,79,2
19500409,864,193,78,2
19500410,861,193,77,2
19500411,861,193,77,2
19500412,863,193,79,2
19500413,864,193,79,2
19500414,863,193,79,2
19500415,864,193,79,2
19500416,862,193,78,2
19500417,862,193,78,2
19500418,862,193,79,2
19500419,862,194,79,2
19500420,863,193,79,2
19500421,865,193,79,2
19500422,864,193,79,2
19500423,863,193,78,2
19500424,862,193,78,2
19500425,865,193,79,2
19500426,863,193,79,2
19500427,862,193,79,2
19500428,862,193,79,2
19500429,860,193,79,2
19500430,858,193,78,2
19500501,865,193,78,2
19500502,865,193,79,2
19500503,866,193,79,2
19500504,866,193,79,2
19500505,865,193,79,2
19500506,866,193,79,2
19500507,863,193,78,2
19500508,864,193,78,2
19500509,860,193,79,2
19500510,864,193,79,2
19500511,865,193,79,2
19500512,864,193,79,2
19500513,864,193,79,2
19500514,863,193,78,2
19500515,863,193,78,2
19500516,867,193,79,2
19500517,862,193,79,2
19500518,865,193,78,2
19500519,865,193,78,2
19500520,865,193,79,2
19500521,862,193,78,2
19500522,861,193,78,2
19500523,864,193,79,2
19500524,863,193,79,2
19500525,862,193,79,2
19500526,863,193,78,2
19500527,864,193,78,2
19500528,862,193,78,2
19500529,862,193,77,2
19500530,862,193,77,2
19500531,864,193,79,2
19500601,865,193,79,2
19500602,865,193,79,2
19500603,868,194,79,2
19500604,870,195,79,2
19500605,866,194,79,2
19500606,868,194,79,2
19500607,865,194,79,2
19500608,865,194,79,2
19500609,867,194,79,2
19500610,867,194,78,2
19500611,868,194,78,2
19500612,867,194,79,2
19500613,867,194,79,2
19500614,864,194,79,2
19500615,867,194,79,2
19500616,867,194,79,2
19500617,867,194,79,2
19500618,865,194,78,2
19500619,864,194,78,2
19500620,867,194,79,2
19500621,867,194,79,2
19500622,867,195,79,2
19500623,866,195,79,2
19500624,868,195,79,2
19500625,865,195,78,2
19500626,866,195,78,2
19500627,868,195,79,2
19500628,866,195,79,2
19500629,867,195,79,2
19500630,864,195,79,2
19500701,868,195,79,2
19500702,867,195,78,2
19500703,863,195,78,2
19500704,870,195,79,2
19500705,869,195,79,2
19500706,867,195,79,2
19500707,867,195,79,2
19500708,867,195,79,2
19500709,868,195,78,2
19500710,867,195,78,2
19500711,869,195,79,2
19500712,869,195,79,2
19500713,868,195,79,2
19500714,869,195,79,2
19500715,869,195,79,2
19500716,868,195,78,2
19500717,869,195,78,2
19500718,870,195,79,2
19500719,868,195,79,2
19500720,868,195,79,2
19500721,869,195,79,2
19500722,870,195,79,2
19500723,867,195,78,2
19500724,868,195,78,2
19500725,868,195,79,2
19500726,867,195,79,2
19500727,868,195,79,2
19500728,866,195,79,2
19500729,870,195,79,2
19500730,869,195,78,2
19500731,867,195,78,2
19500801,869,195,79,2
19500802,866,195,77,2
19500803,868,195,77,2
19500804,869,195,77,2
19500805,869,195,77,2
19500806,872,195,77,2
19500807,871,195,76,2
19500808,870,195,77,2
