date,ntot,nNO,nSE,nFI
19500101,568,56,8,2
19500102,579,56,8,2
19500103,579,56,8,2
19500104,577,56,8,2
19500105,576,56,8,2
19500106,579,56,8,2
19500107,578,56,8,2
19500108,580,56,8,2
19500109,578,56,8,2
19500110,576,56,8,2
19500111,578,56,8,2
19500112,579,56,8,2
19500113,579,56,8,2
19500114,579,56,8,2
19500115,580,56,8,2
19500116,580,56,8,2
19500117,576,56,8,2
19500118,576,56,8,2
19500119,579,56,8,2
19500120,578,56,8,2
19500121,580,56,8,2
19500122,580,56,8,2
19500123,578,56,8,2
19500124,576,56,8,2
19500125,579,56,8,2
19500126,579,56,8,2
19500127,579,56,8,2
19500128,581,56,8,2
19500129,579,56,8,2
19500130,580,56,8,2
19500131,580,56,8,2
19500201,578,56,8,2
19500202,581,56,8,2
19500203,580,56,8,2
19500204,581,56,8,2
19500205,580,56,8,2
19500206,581,56,8,2
19500207,580,56,8,2
19500208,578,56,8,2
19500209,581,56,8,2
19500210,580,56,8,2
19500211,580,56,8,2
19500212,581,56,8,2
19500213,580,56,8,2
19500214,581,56,8,2
19500215,581,56,8,2
19500216,580,56,8,2
19500217,580,56,8,2
19500218,581,56,8,2
19500219,581,56,8,2
19500220,581,56,8,2
19500221,578,56,8,2
19500222,580,56,8,2
19500223,581,56,8,2
19500224,581,56,8,2
19500225,578,56,8,2
19500226,580,56,8,2
19500227,581,56,8,2
19500228,580,56,8,2
19500301,581,56,8,2
19500302,582,56,8,2
19500303,582,56,8,2
19500304,582,56,8,2
19500305,582,56,8,2
19500306,581,56,8,2
19500307,580,56,8,2
19500308,582,56,8,2
19500309,582,56,8,2
19500310,582,56,8,2
19500311,581,56,8,2
19500312,581,56,8,2
19500313,581,56,8,2
19500314,581,56,8,2
19500315,581,56,8,2
19500316,582,56,8,2
19500317,581,56,8,2
19500318,582,56,8,2
19500319,582,56,8,2
19500320,582,56,8,2
19500321,582,56,8,2
19500322,581,56,8,2
19500323,582,56,8,2
19500324,581,56,8,2
19500325,582,56,8,2
19500326,581,56,8,2
19500327,581,56,8,2
19500328,581,56,8,2
19500329,582,56,8,2
19500330,582,56,8,2
19500331,581,56,8,2
19500401,582,56,8,2
19500402,582,56,8,2
19500403,582,56,8,2
19500404,582,56,8,2
19500405,583,56,8,2
19500406,582,56,8,2
19500407,580,56,8,2
19500408,582,56,8,2
19500409,582,56,8,2
19500410,583,56,8,2
19500411,581,56,8,2
19500412,582,56,8,2
19500413,583,56,8,2
19500414,581,56,8,2
19500415,581,56,8,2
19500416,581,56,8,2
19500417,582,56,8,2
19500418,582,56,8,2
19500419,581,56,8,2
19500420,580,56,8,2
19500421,583,56,8,2
19500422,581,56,8,2
19500423,581,56,8,2
19500424,582,56,8,2
19500425,580,56,8,2
19500426,582,56,8,2
19500427,582,56,8,2
19500428,582,56,8,2
19500429,580,56,8,2
19500430,581,56,8,2
19500501,582,56,8,2
19500502,580,56,8,2
19500503,580,56,8,2
19500504,579,56,8,2
19500505,581,56,8,2
19500506,580,56,8,2
19500507,579,56,8,2
19500508,580,56,8,2
19500509,579,56,8,2
19500510,581,56,8,2
19500511,580,56,8,2
19500512,580,56,8,2
19500513,579,56,8,2
19500514,580,56,8,2
19500515,580,56,8,2
19500516,580,56,8,2
19500517,580,56,8,2
19500518,581,56,8,2
19500519,580,56,8,2
19500520,581,56,8,2
19500521,580,56,8,2
19500522,581,56,8,2
19500523,579,56,8,2
19500524,581,56,8,2
19500525,580,56,8,2
19500526,580,56,8,2
19500527,581,56,8,2
19500528,581,56,8,2
19500529,581,56,8,2
19500530,579,56,8,2
19500531,580,56,8,2
19500601,580,56,8,2
19500602,582,57,8,2
19500603,582,57,8,2
19500604,583,57,8,2
19500605,583,57,8,2
19500606,583,57,8,2
19500607,580,57,8,2
19500608,582,57,8,2
19500609,582,57,8,2
19500610,583,57,8,2
19500611,583,57,8,2
19500612,583,57,8,2
19500613,582,57,8,2
19500614,583,57,8,2
19500615,582,57,8,2
19500616,582,57,8,2
19500617,581,57,8,2
19500618,583,57,8,2
19500619,583,57,8,2
19500620,582,57,8,2
19500621,583,57,8,2
19500622,584,58,8,2
19500623,584,58,8,2
19500624,583,58,8,2
19500625,584,58,8,2
19500626,584,58,8,2
19500627,584,58,8,2
19500628,584,58,8,2
19500629,584,58,8,2
19500630,583,58,8,2
19500701,584,58,8,2
19500702,582,58,8,2
19500703,582,58,8,2
19500704,583,58,8,2
19500705,583,58,8,2
19500706,583,58,8,2
19500707,582,58,8,2
19500708,583,58,8,2
19500709,583,58,8,2
19500710,583,58,8,2
19500711,583,58,8,2
19500712,584,58,8,2
19500713,584,58,8,2
19500714,584,58,8,2
19500715,584,58,8,2
19500716,584,58,8,2
19500717,584,58,8,2
19500718,584,58,8,2
19500719,583,58,8,2
19500720,583,58,8,2
19500721,584,58,8,2
19500722,585,58,8,2
19500723,585,58,8,2
19500724,582,58,8,2
19500725,585,58,8,2
19500726,584,58,8,2
19500727,584,58,8,2
19500728,584,58,8,2
19500729,585,58,8,2
19500730,585,58,8,2
19500731,584,58,8,2
19500801,585,58,8,2
19500802,586,58,8,2
19500803,585,58,8,2
19500804,586,58,8,2
19500805,586,58,8,2
19500806,586,58,8,2
19500807,585,58,8,2
19500808,586,58,8,2
19500809,586,58,8,2
19500810,586,58,8,2
19500811,586,58,8,2
19500812,586,58,8,2
19500813,586,58,8,2
19500814,586,58,8,2
19500815,585,58,8,2
19500816,586,58,8,2
19500817,586,58,8,2
19500818,586,58,8,2
19500819,586,58,8,2
